gene_id	ERR031017	ERR031018	ERR031019	ERR031022	ERR031023	ERR031024	ERR031025	ERR031026	ERR031027	ERR031028	ERR031029	ERR031030	ERR031031	ERR031032	ERR031033	ERR031035	ERR031038	ERR031039	ERR031040	ERR031041	ERR031042	ERR031043	ERR031044	ERR299295	ERR299296	ERR299297	ERR299298	ERR299299
ENSG00000000003	700	759	1763	1703	1248	1189	1379	1566	1184	890	1240	1080	1598	1891	3395	1206	1595	1646	1073	2324	2198	2661	835	930	1764	926	973	2719
ENSG00000000005	0	11	28	13	10	2	64	17	14	11	61	10	9	0	24	0	10	2	6	2	2	0	6	6	28	3	4	5
ENSG00000000419	181	242	683	775	622	793	1328	864	470	522	870	728	1233	1129	1456	510	666	426	640	973	886	1045	636	692	939	362	728	933
ENSG00000000457	224	404	642	552	310	550	731	578	416	608	417	556	805	753	752	468	466	493	534	706	606	403	457	360	724	452	597	637
ENSG00000000460	11	51	137	106	30	104	178	158	45	37	61	50	161	158	144	51	80	47	80	127	65	69	89	66	133	40	77	97
ENSG00000000938	114	167	234	427	179	139	742	361	155	164	182	290	232	115	145	537	292	74	108	140	82	184	81	173	455	85	533	247
ENSG00000000971	202	255	245	754	652	478	587	340	298	509	479	321	487	211	201	422	306	233	365	182	142	259	318	458	707	184	305	186
ENSG00000001036	245	419	947	1411	690	432	1003	1794	474	374	762	846	1228	1655	1372	710	1055	967	788	990	1826	1257	854	602	717	577	773	1650
ENSG00000001084	396	334	1988	1495	685	789	2056	1069	829	578	1188	1105	1892	2086	2406	905	1244	830	993	1514	626	1455	1185	1183	2140	640	925	2086
ENSG00000001167	262	368	1389	657	430	1134	924	848	462	277	535	481	1342	1515	1029	462	628	418	663	883	673	1141	942	712	737	443	739	1296
ENSG00000001460	164	261	440	308	218	237	575	423	199	134	241	125	439	453	620	313	197	445	257	661	161	364	285	197	428	119	98	340
ENSG00000001461	1687	3371	7157	4572	2713	968	8846	4319	2250	759	2908	1444	7139	6487	15978	3362	3935	12393	3699	16110	4643	8652	3730	2891	6507	889	705	6820
ENSG00000001497	508	820	942	715	522	685	1215	906	545	819	617	737	1361	922	965	867	701	771	763	1009	1087	1080	769	603	1007	346	657	1059
ENSG00000001561	290	116	1104	721	393	1797	1031	1100	546	343	627	572	1586	2435	1513	480	639	553	638	566	962	695	721	788	832	581	737	1622
ENSG00000001617	684	722	1597	632	1290	277	670	607	705	336	670	606	1182	559	548	964	422	851	980	1400	935	712	275	446	631	135	446	870
ENSG00000001626	23	13	1244	71	405	104	656	7	86	53	223	37	274	125	151	756	121	63	267	84	16	119	1	614	485	40	192	457
ENSG00000001629	169	422	1531	1036	576	1152	1538	972	478	730	779	927	1716	2281	1446	682	876	525	919	773	836	849	619	995	1246	665	850	1491
ENSG00000001630	5	2	31	11	2	2	64	32	2	12	3	2	126	49	59	13	14	7	8	11	47	13	0	7	38	1	11	52
ENSG00000001631	249	638	362	793	324	789	628	617	423	761	630	827	675	617	500	683	725	278	774	519	394	544	539	966	766	677	752	485
