gene_id	ERR5671402	ERR5671403	ERR5671404	ERR5671405	ERR5671406	ERR5671407	ERR5671408	ERR5671409	ERR5671410
ENSMUSG00000000003	0	0	0	0	0	0	0	0	0
ENSMUSG00000000031	371	3476	505	213	555	662	5151	5943	3314
ENSMUSG00000000103	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120	10	46	4	2	4	4	16	14	45
ENSMUSG00000000125	0	0	0	0	0	0	0	0	0
ENSMUSG00000000134	2766	2490	1959	2467	2319	1950	2762	2689	2490
ENSMUSG00000000142	13	27	14	31	15	14	13	9	7
ENSMUSG00000000157	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	0	0	0	2
ENSMUSG00000000183	0	0	0	0	0	0	0	2	0
ENSMUSG00000000197	3	7	0	0	0	0	15	0	0
ENSMUSG00000000204	0	0	0	0	0	0	0	0	1
ENSMUSG00000000214	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	2	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0	0
ENSMUSG00000000263	15	12	4	29	0	7	9	41	8
ENSMUSG00000000276	380	362	442	430	406	412	429	406	725
ENSMUSG00000000303	5	0	4	14	0	3	0	0	0
ENSMUSG00000000305	6	1	0	0	2	0	0	0	23
ENSMUSG00000000318	7	2	11	13	0	2	0	0	0
ENSMUSG00000000381	0	0	0	0	0	0	0	0	0
ENSMUSG00000000394	0	0	0	0	0	0	0	0	0
ENSMUSG00000000402	0	0	0	0	0	0	0	0	0
ENSMUSG00000000411	0	0	0	0	0	0	0	0	0
ENSMUSG00000000489	22	26	2	30	23	3	81	52	434
ENSMUSG00000000560	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561	2564	2271	2348	2346	2257	1642	2682	2459	3209
ENSMUSG00000000562	0	0	0	0	0	0	0	0	0
ENSMUSG00000000606	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0	0
ENSMUSG00000000632	1	0	0	0	0	0	0	0	0
ENSMUSG00000000673	0	0	0	0	0	0	0	0	0
ENSMUSG00000000701	0	0	0	0	0	0	0	0	0
ENSMUSG00000000724	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730	223	335	94	214	142	129	309	325	224
ENSMUSG00000000731	0	0	0	0	0	0	0	0	0
ENSMUSG00000000766	0	0	0	0	0	0	0	0	0
ENSMUSG00000000805	0	0	0	0	0	0	1	0	0
ENSMUSG00000000817	0	0	0	0	0	2	0	0	0
ENSMUSG00000000869	0	0	0	0	0	0	0	0	0
ENSMUSG00000000889	2	9	0	0	0	2	4	9	9
ENSMUSG00000000901	1679	2173	1726	1743	1728	1463	1405	1844	1254
ENSMUSG00000000959	2015	1918	1521	1770	1873	1293	1861	1683	1662
ENSMUSG00000000982	9	33	0	6	21	7	0	9	10
ENSMUSG00000000983	0	0	0	0	0	2	0	0	0
ENSMUSG00000001027	0	17	2	0	0	0	4	14	2
ENSMUSG00000001065	1072	1020	897	1092	1013	766	887	906	954
ENSMUSG00000001076	0	0	0	0	2	0	0	0	0
ENSMUSG00000001103	0	0	0	2	0	0	0	0	0
ENSMUSG00000001143	353	198	288	371	388	264	357	303	363
ENSMUSG00000001155	0	0	0	0	0	0	0	0	0
ENSMUSG00000001168	0	0	0	0	0	0	0	0	0
ENSMUSG00000001260	0	0	0	0	0	0	0	0	0
ENSMUSG00000001444	0	0	0	0	0	0	0	0	2
ENSMUSG00000001496	0	0	0	0	0	0	0	0	0
ENSMUSG00000001508	2	13	2	4	0	9	86	47	40
ENSMUSG00000001558	5	21	15	13	28	24	2	19	6
ENSMUSG00000001566	0	0	0	0	0	0	0	0	0
ENSMUSG00000001588	0	1	0	0	2	0	0	6	2
ENSMUSG00000001670	0	0	0	0	0	0	0	0	0
ENSMUSG00000001672	0	0	0	0	0	0	0	0	0
ENSMUSG00000001700	738	968	800	856	943	830	850	808	467
ENSMUSG00000001739	328	208	599	867	446	354	408	582	420
ENSMUSG00000001804	0	0	0	0	0	0	0	0	0
ENSMUSG00000001815	0	0	0	0	0	0	0	0	0
ENSMUSG00000001819	0	10	0	4	2	2	6	0	13
ENSMUSG00000001823	0	0	0	0	0	0	0	0	0
ENSMUSG00000001865	0	0	0	0	0	0	0	0	0
ENSMUSG00000001901	0	0	0	0	0	0	0	0	0
ENSMUSG00000001985	2	1	0	0	0	2	6	0	15
ENSMUSG00000001988	0	0	0	0	2	0	0	0	0
ENSMUSG00000002006	341	510	195	353	436	397	404	477	147
ENSMUSG00000002007	0	14	4	0	4	1	66	57	29
ENSMUSG00000002012	25	43	13	18	58	15	11	20	10
ENSMUSG00000002033	0	0	0	0	0	0	0	0	0
ENSMUSG00000002057	3	0	0	0	0	0	0	2	3
ENSMUSG00000002100	0	0	0	0	0	0	0	0	0
ENSMUSG00000002204	0	0	0	0	0	0	0	0	0
ENSMUSG00000002222	807	1168	1084	1293	1061	1377	795	1090	1022
ENSMUSG00000002240	0	0	0	0	0	0	0	0	0
ENSMUSG00000002324	0	0	0	0	0	0	0	2	0
ENSMUSG00000002345	1102	830	960	1065	1039	804	939	747	672
ENSMUSG00000002395	1719	2023	1393	1755	1773	1302	1766	1786	1343
ENSMUSG00000002500	0	0	0	0	0	2	0	0	0
ENSMUSG00000002565	10	6	4	0	0	0	0	0	27
ENSMUSG00000002588	0	0	1	0	0	0	0	0	0
ENSMUSG00000002617	61	79	77	90	91	207	13	60	224
ENSMUSG00000002633	0	0	0	0	0	0	0	0	0
ENSMUSG00000002664	0	0	0	0	0	0	2	0	0
ENSMUSG00000002699	0	10	0	0	9	0	0	1	0
ENSMUSG00000002748	7227	7518	7233	7891	7399	6674	8875	7753	9613
ENSMUSG00000002799	2	11	12	6	2	4	27	33	53
ENSMUSG00000002930	0	0	0	0	0	0	0	0	0
ENSMUSG00000002948	957	1057	910	1177	1002	839	1094	1006	987
ENSMUSG00000002984	5292	4461	4698	4385	4232	2855	4836	4190	5609
ENSMUSG00000002992	0	0	0	0	0	0	0	0	0
ENSMUSG00000003053	0	0	0	0	0	0	0	0	0
ENSMUSG00000003279	1	7	23	8	0	5	2	13	51
ENSMUSG00000003316	10832	12067	10056	12174	10827	10326	9703	10792	9113
ENSMUSG00000003378	25	27	35	25	20	41	8	42	31
ENSMUSG00000003382	891	974	892	919	1030	867	810	868	864
ENSMUSG00000003410	0	0	0	0	0	0	0	0	0
ENSMUSG00000003469	89	247	98	7	155	82	1	6	0
ENSMUSG00000003476	0	0	0	0	0	0	0	0	0
ENSMUSG00000003477	0	0	0	0	0	0	0	2	0
ENSMUSG00000003505	0	0	0	0	0	0	0	0	0
ENSMUSG00000003555	0	0	0	0	0	0	0	0	0
ENSMUSG00000003882	0	1	1	0	0	0	0	0	0
ENSMUSG00000003974	0	0	0	0	0	0	0	0	0
ENSMUSG00000004018	307	344	265	394	317	301	429	355	457
