gene_id	ERR3971851	ERR3971852	ERR3971853	ERR3971854	ERR3971855	ERR3971856	ERR3971857	ERR3971858	ERR3971859	ERR3971860	ERR3971861	ERR3971862
AT1G01250	6	5	5	25	14	15	5	5	2	14	6	12
AT1G01270	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01335	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01400	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01450	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01480	301	363	354	13	2	13	305	472	499	12	6	15
AT1G01680	95	118	301	4	3	2	37	117	188	14	25	6
AT1G01870	0	0	0	0	0	0	0	0	0	0	0	0
AT1G01890	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02040	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02067	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02210	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02320	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02480	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02540	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02710	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02760	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02790	0	0	0	0	0	0	0	0	0	0	0	0
AT1G02813	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03103	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03300	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03325	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03395	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03502	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03515	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03570	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03640	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03720	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03743	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03746	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03810	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03982	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03993	0	0	0	0	0	0	0	0	0	0	0	0
AT1G03997	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04003	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04017	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04023	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04033	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04043	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04057	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04063	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04067	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04073	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04077	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04087	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04093	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04105	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04110	16	28	29	36	42	53	33	27	43	42	30	26
AT1G04117	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04123	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04133	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04143	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04163	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04167	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04177	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04203	0	0	0	0	0	0	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0	0	0	0	0	0	0
