gene_id	ERR031017	ERR031018	ERR031019	ERR031022	ERR031023	ERR031024	ERR031025	ERR031026	ERR031027	ERR031028	ERR031029	ERR031030	ERR031031	ERR031032	ERR031033	ERR031035	ERR031038	ERR031039	ERR031040	ERR031041	ERR031042	ERR031043	ERR031044	ERR299295	ERR299296	ERR299297	ERR299298	ERR299299
ENSG00000000005	0	11	28	13	10	2	64	17	14	11	61	10	9	0	24	0	10	2	6	2	2	0	6	6	28	3	4	5
ENSG00000001626	23	13	1244	71	405	104	656	7	86	53	223	37	274	125	151	756	121	63	267	84	16	119	1	614	485	40	192	457
ENSG00000001629	169	422	1531	1036	576	1152	1538	972	478	730	779	927	1716	2281	1446	682	876	525	919	773	836	849	619	995	1246	665	850	1491
ENSG00000001630	5	2	31	11	2	2	64	32	2	12	3	2	126	49	59	13	14	7	8	11	47	13	0	7	38	1	11	52
ENSG00000002726	44	29	150	4	911	36	1285	8	116	6	57	2	495	7	2483	47	6	960	36	1936	51	346	0	14	528	24	0	377
ENSG00000002745	0	4	36	23	21	18	47	38	4	13	7	14	84	22	7	6	14	1	23	15	10	18	21	9	38	4	10	48
ENSG00000002822	31	30	31	34	23	17	18	34	30	32	14	30	14	46	29	32	39	23	28	61	22	45	42	42	32	24	18	48
ENSG00000004142	1722	1978	2335	2549	2160	1588	2027	2391	2258	1557	2225	1724	2246	2731	3179	2080	2045	3408	2366	2717	3226	3046	3419	2118	2199	1985	1709	2722
ENSG00000004468	224	2890	3045	3811	712	143	3848	106	505	710	1703	1263	3047	1411	8850	337	2904	3660	622	5788	306	3527	4974	1237	3082	100	556	3848
ENSG00000004799	1090	197	1936	10633	1790	541	6293	1406	1047	832	937	799	3241	563	11641	7620	6621	1356	2205	2521	338	18452	1617	1497	27555	1820	3686	20724
ENSG00000004848	24	17	102	45	106	6	22	0	15	17	28	81	28	25	34	15	0	66	12	135	6	81	0	173	12	63	3	26
ENSG00000005421	0	30	19	2	41	4	16	0	12	5	13	10	19	15	55	0	7	4	13	37	0	46	1	4	15	5	6	46
ENSG00000006128	10	9	17	20	10	2	0	0	15	3	29	24	37	28	78	43	4	6	159	0	22	11	8	2	12	6	31	22
ENSG00000006625	257	731	396	886	491	786	522	1357	498	701	788	865	784	1399	915	486	1235	669	1106	601	3040	694	1958	707	489	663	735	993
ENSG00000006788	0	4	0	3	0	4	0	2	0	2	0	7	4	2	0	0	0	0	5	0	0	0	0	0	2	0	4	0
ENSG00000007038	30	11	99	99	57	4	127	10	15	5	36	0	155	8	135	15	62	98	36	126	23	212	0	14	93	5	2	50
ENSG00000007062	50	28	1243	62	166	47	291	17	184	34	218	8	251	37	108	821	113	289	133	102	49	48	16	551	320	37	104	207
ENSG00000007171	2	29	103	15	44	2	30	6	12	4	0	0	16	1	11	64	9	22	2	15	0	15	18	19	19	4	8	20
ENSG00000007306	2	2	3	0	38	0	6	0	2	0	10	0	0	0	0	0	0	3	4	0	16	0	0	0	2	0	0	0
ENSG00000007372	0	6	2	16	6	1	2	0	4	2	0	6	8	5	0	0	8	2	2	0	0	8	0	4	6	6	1	1
ENSG00000008438	0	4	0	2	0	2	0	0	0	8	0	0	5	1	2	0	1	0	6	3	0	0	2	0	3	0	2	2
ENSG00000009724	11	53	102	42	12	31	114	102	36	62	25	41	327	265	54	24	19	11	45	49	27	12	18	50	87	24	79	55
ENSG00000011677	2	27	7	0	6	0	35	0	17	5	3	2	13	0	7	11	0	29	0	14	0	2	0	0	7	0	0	11
ENSG00000012061	1378	1610	1965	1772	1615	1468	1872	2151	1564	1421	1914	1777	2179	1816	2276	2490	2026	2265	1604	1899	1457	2515	2203	1630	1911	1247	1624	2274
ENSG00000012223	5753	61	63964	2668	39054	1333	70790	47	45656	2119	10960	278	7556	1460	4824	85864	4585	3405	7457	1233	205	3751	15	13461	23809	7633	1618	13276
ENSG00000012504	0	10	0	0	0	6	54	22	3	14	4	4	24	2	0	2	0	0	0	11	1	0	0	0	17	0	0	0
ENSG00000013441	892	4516	3822	5093	1835	5761	6812	5297	2598	5255	3430	6317	7940	6411	6827	2248	3745	1321	6836	3593	4133	6099	5208	4889	7962	4422	7964	5324
ENSG00000014257	32426	42173	316411	161589	71103	16521	266831	261291	50396	7835	75156	17733	238135	406545	823480	54472	132640	361762	63743	417729	69221	334279	118787	26818	375344	23447	17359	466285
ENSG00000016602	31	0	56	4	265	97	54	0	37	0	111	7	9	54	51	58	12	38	26	32	0	92	0	10	135	0	9	21
