gene_id	ERR3721875	ERR3721871	ERR3721868	ERR3721876	ERR3721870	ERR3721873	ERR3721867	ERR3721874	ERR3721869	ERR3721872
ENSG00000000005	0	0	0	0	0	0	0	0	0	0
ENSG00000000938	0	0	0	0	0	0	0	0	0	0
ENSG00000001626	80	22	44	148	109	59	14	26	19	53
ENSG00000002726	0	35	37	0	51	1	18	0	58	4
ENSG00000002933	52	69	78	20	121	15	62	0	62	45
ENSG00000003249	548	638	567	483	561	419	274	255	573	362
ENSG00000004809	0	0	0	0	0	0	0	0	0	0
ENSG00000004846	0	0	0	0	1	0	0	0	0	0
ENSG00000004939	0	0	0	0	0	0	0	0	0	0
ENSG00000005102	0	0	0	0	0	0	0	1	0	0
ENSG00000006059	0	0	0	0	0	0	0	0	0	0
ENSG00000006071	7	5	0	17	0	0	16	0	0	10
ENSG00000006116	0	0	0	0	0	0	0	0	0	0
ENSG00000006377	0	0	0	0	0	0	0	0	0	0
ENSG00000006555	0	0	0	0	0	0	0	0	0	0
ENSG00000006659	0	0	0	0	0	0	0	0	0	0
ENSG00000007129	0	0	0	0	0	0	0	0	0	0
ENSG00000007174	0	0	0	0	1	0	0	0	0	0
ENSG00000007216	45	0	3	43	14	65	16	0	8	11
ENSG00000007306	47	5	70	48	21	48	0	0	11	19
ENSG00000007312	0	0	1	0	0	0	0	0	0	0
ENSG00000007350	0	0	0	0	0	0	0	0	0	0
ENSG00000007952	60	16	69	65	52	63	0	9	8	69
ENSG00000008118	0	15	11	0	5	13	0	11	11	0
ENSG00000008197	0	0	0	0	0	0	0	0	0	0
ENSG00000008323	14	11	14	17	28	13	10	15	25	15
ENSG00000009790	0	0	0	0	0	0	0	0	0	0
ENSG00000010282	0	0	0	0	0	0	0	0	0	0
ENSG00000011201	0	0	0	0	0	0	0	0	0	0
ENSG00000013573	723	767	757	523	806	493	333	487	507	596
ENSG00000015592	0	0	0	0	0	0	0	0	0	0
ENSG00000016490	0	0	0	0	0	0	0	0	0	0
ENSG00000016602	0	0	0	0	0	0	0	0	0	0
ENSG00000018607	0	0	0	0	0	0	0	0	0	0
ENSG00000021852	0	0	0	0	0	0	0	0	0	0
ENSG00000022355	0	0	0	0	0	0	0	0	0	0
ENSG00000025039	41	47	79	90	119	80	1	0	71	83
ENSG00000025423	22	14	3	37	8	25	0	0	1	13
ENSG00000026751	0	43	23	0	43	0	1	0	34	3
ENSG00000027644	0	0	0	0	1	0	0	0	0	0
ENSG00000029364	420	688	807	559	900	632	273	331	691	750
ENSG00000029559	0	0	0	0	0	0	0	0	0	0
ENSG00000034239	0	0	0	0	0	0	0	0	1	0
ENSG00000034971	0	0	0	0	0	0	0	0	0	0
ENSG00000035720	0	0	1	0	0	0	0	0	0	0
ENSG00000036473	0	0	0	0	0	0	0	0	0	0
ENSG00000036565	0	0	0	0	0	0	0	0	0	0
ENSG00000036828	0	0	0	0	0	0	0	0	0	0
ENSG00000039537	14	0	1	15	16	12	0	0	10	22
ENSG00000039600	0	0	0	0	0	0	0	0	0	0
ENSG00000039987	0	0	0	0	0	0	0	0	1	0
ENSG00000042304	0	0	0	0	0	0	0	0	0	0
ENSG00000042445	1123	1344	1329	1102	1715	1003	691	426	1342	887
ENSG00000042813	0	0	0	0	0	0	0	0	0	0
ENSG00000043462	0	0	0	0	0	0	0	0	0	0
ENSG00000044012	13	35	29	1	129	23	9	12	116	4
ENSG00000044524	0	18	58	0	3	0	1	0	15	0
ENSG00000046774	0	0	0	0	0	0	0	0	0	0
ENSG00000048462	0	0	0	0	0	0	0	0	0	0
ENSG00000048545	0	0	0	0	0	0	0	0	0	0
ENSG00000049089	7	2	42	0	10	0	0	0	9	0
ENSG00000049247	0	0	0	0	0	0	0	0	0	0
ENSG00000050030	0	0	0	0	0	0	0	0	0	0
ENSG00000050327	0	58	63	32	127	10	75	5	71	31
ENSG00000050438	0	17	18	11	24	0	19	0	34	3
ENSG00000050628	0	0	0	0	0	0	0	0	0	0
ENSG00000050730	2	1	18	6	11	26	0	0	11	0
ENSG00000051180	0	0	1	0	0	0	0	0	0	0
ENSG00000053328	0	0	0	0	0	0	0	0	0	0
ENSG00000053702	0	18	7	44	34	28	28	0	13	17
ENSG00000054219	0	15	34	1	27	0	22	0	29	2
ENSG00000054796	0	0	0	0	0	0	0	0	0	0
ENSG00000054803	0	0	0	0	0	0	0	0	0	0
ENSG00000055957	0	0	0	0	0	0	0	0	0	1
ENSG00000056291	0	0	0	0	0	0	0	0	0	0
ENSG00000057149	6	5	82	16	3	2	0	7	0	12
ENSG00000060303	0	0	0	0	0	0	0	0	0	0
ENSG00000060709	0	0	0	0	0	0	0	0	0	0
ENSG00000061492	0	0	0	0	0	0	0	0	0	0
ENSG00000062038	0	53	142	22	23	1	15	19	29	18
ENSG00000062096	0	0	0	0	0	0	0	0	0	0
ENSG00000063515	0	0	0	0	0	0	0	0	0	0
ENSG00000064195	0	0	0	0	0	0	0	0	0	0
ENSG00000064218	0	0	0	0	0	0	0	0	0	0
ENSG00000064225	0	26	11	14	40	6	0	2	14	11
ENSG00000064787	405	1167	1142	408	1933	523	607	112	1452	391
ENSG00000065371	0	0	0	0	0	0	0	0	0	0
ENSG00000066032	9	0	0	10	0	9	0	15	0	10
ENSG00000066056	0	1	0	0	0	0	0	0	0	0
ENSG00000066136	252	304	349	400	398	176	104	134	283	257
ENSG00000066294	0	0	0	0	0	0	0	0	0	0
ENSG00000066382	0	0	0	0	0	0	0	0	0	0
