gene_id	control1	control2	control3	control4	treated1	treated2	treated3	treated4
SYN00001	7	7	11	18	41	57	44	19
SYN00009	34	23	52	53	157	186	156	112
SYN00012	13	9	5	10	48	59	11	44
SYN00014	7	17	10	12	30	20	57	27
SYN00018	2	7	9	8	23	21	16	30
SYN00019	17	30	41	41	138	111	156	126
SYN00023	51	81	70	64	163	162	235	221
SYN00024	296	281	305	250	1138	862	1295	1255
SYN00025	75	45	42	63	241	191	211	192
SYN00026	21	28	15	12	96	53	54	94
SYN00027	14	24	17	9	62	50	54	85
SYN00031	4	2	8	10	33	35	30	22
SYN00032	3	5	2	3	22	27	16	20
SYN00038	100	97	75	144	284	298	414	534
SYN00039	14	22	44	49	90	86	134	97
SYN00040	9	3	8	20	15	38	36	34
SYN00041	7	15	14	12	45	25	36	48
SYN00045	9	7	8	11	41	51	36	52
SYN00046	2	3	4	0	10	10	19	22
SYN00049	103	96	164	126	431	406	558	473
SYN00050	9	2	12	9	22	28	45	37
SYN00052	127	228	256	244	706	903	990	707
SYN00053	8	4	3	8	28	19	28	43
SYN00055	199	171	278	237	645	853	1129	693
SYN00058	0	2	2	1	6	3	7	7
SYN00067	7	3	3	0	19	11	14	10
SYN00071	240	292	261	349	1193	645	950	1119
SYN00074	14	29	20	21	108	46	93	97
SYN00075	22	12	27	27	90	53	101	93
SYN00077	13	18	16	31	60	84	65	81
SYN00079	9	15	14	20	51	64	82	103
SYN00080	406	339	466	754	2286	1922	2581	1909
SYN00081	3	15	10	11	28	36	41	23
SYN00084	214	141	186	197	541	587	843	932
SYN00085	0	3	2	0	10	9	6	7
SYN00089	3	8	11	10	24	36	34	32
SYN00091	162	173	189	258	695	600	751	944
SYN00094	29	37	44	39	156	106	111	128
SYN00098	10	5	11	6	21	26	36	28
SYN00099	6	0	4	10	7	11	25	42
SYN00100	71	48	53	92	294	188	280	314
SYN00101	67	33	58	64	166	226	212	222
SYN00104	0	1	0	0	3	6	2	5
SYN00105	41	43	54	109	227	295	219	241
SYN00106	1	4	2	2	13	4	13	8
SYN00109	236	251	282	310	1074	956	1236	959
SYN00111	26	22	32	33	117	81	154	141
SYN00112	5	4	13	7	28	28	27	24
SYN00113	7	9	14	14	34	60	83	43
SYN00116	7	3	5	3	13	18	19	26
SYN00120	46	33	59	60	122	164	232	220
SYN00121	19	9	13	17	40	54	39	58
SYN00122	21	8	14	38	58	54	54	68
SYN00124	45	36	47	54	146	187	159	272
SYN00125	16	18	10	13	27	45	39	41
SYN00126	8	7	10	13	42	39	59	38
SYN00127	9	11	16	14	29	45	54	36
SYN00130	10	3	12	9	49	34	41	48
SYN00134	154	97	111	82	330	450	546	491
SYN00135	0	1	1	1	0	0	1	2
SYN00139	4	5	3	8	15	24	30	21
SYN00147	1	2	1	1	8	6	7	7
SYN00151	9	11	13	11	34	28	30	47
SYN00152	4	7	3	4	25	14	23	17
SYN00153	0	2	3	4	14	8	20	11
SYN00154	1	1	2	2	9	6	9	12
SYN00155	3	4	1	6	13	15	9	20
SYN00156	11	14	20	11	58	43	50	77
SYN00157	5	2	8	16	28	30	33	37
SYN00160	8	14	13	9	34	44	42	35
SYN00165	57	39	42	46	164	187	192	177
SYN00167	5	5	16	20	39	23	36	43
SYN00171	3	4	4	2	5	10	12	16
SYN00173	10	22	34	10	50	40	82	60
SYN00174	16	19	22	24	88	85	96	72
SYN00175	2	0	2	9	14	13	22	20
SYN00176	39	28	32	42	177	133	107	101
SYN00178	2	6	10	7	32	20	26	22
SYN00180	14	17	8	9	25	42	32	56
SYN00183	14	12	9	13	41	32	39	33
SYN00187	36	32	33	35	103	144	154	141
SYN00189	172	222	245	336	629	983	1241	693
SYN00190	53	77	87	70	234	281	410	196
SYN00191	12	12	11	19	65	51	67	70
SYN00198	12	6	4	10	33	42	48	42
SYN00203	104	85	116	144	460	366	470	424
SYN00206	2	1	1	5	10	15	17	9
SYN00208	137	110	66	97	507	401	585	566
SYN00210	6	6	4	7	12	10	19	9
SYN00216	21	12	22	19	49	49	86	103
SYN00220	16	24	28	45	131	92	104	114
SYN00222	16	31	26	20	62	83	137	97
SYN00224	2	7	8	8	16	39	34	28
SYN00225	34	24	34	30	128	98	127	139
SYN00226	38	35	27	37	89	89	105	118
SYN00228	1	4	5	5	15	11	16	12
SYN00230	6	5	13	6	47	37	25	54
SYN00233	40	35	49	31	91	78	135	142
SYN00235	0	3	8	9	4	13	6	7
SYN00236	2	3	4	5	22	16	21	15
SYN00237	154	150	123	118	684	417	294	623
SYN00239	191	178	152	242	640	466	903	823
SYN00241	8	4	2	4	17	7	16	14
SYN00243	10	12	21	19	33	26	47	41
SYN00245	13	6	18	7	27	43	44	34
SYN00247	10	13	18	10	46	45	52	62
SYN00257	4	2	3	4	11	19	27	24
SYN00260	8	14	6	11	31	33	33	40
SYN00267	39	63	89	68	205	206	268	324
SYN00269	62	81	60	79	181	289	376	197
SYN00272	24	31	41	52	155	111	247	166
SYN00274	13	16	20	26	76	88	97	89
SYN00275	49	48	79	56	193	119	229	200
SYN00278	8	8	6	13	43	35	33	80
SYN00280	7	12	13	12	24	56	49	52
SYN00281	8	7	24	26	54	26	67	58
SYN00282	18	9	17	12	23	26	34	34
SYN00283	25	9	19	33	81	87	115	138
SYN00284	8	11	19	3	34	30	47	28
SYN00288	8	12	8	8	19	11	26	45
SYN00289	14	32	19	23	45	78	118	61
SYN00290	9	17	26	11	45	33	67	75
SYN00291	67	43	53	54	94	195	228	405
SYN00292	2	2	1	1	1	10	14	13
SYN00296	9	8	8	17	50	41	24	21
SYN00297	3	8	0	0	12	13	10	8
SYN00298	27	9	22	22	59	59	73	97
SYN00301	6	8	13	7	0	1	4	2
SYN00304	32	26	51	46	8	8	11	12
SYN00308	3	6	10	3	4	4	1	0
SYN00311	17	15	24	29	3	10	8	3
SYN00314	44	36	34	26	12	20	22	17
SYN00316	13	25	21	13	4	3	15	3
SYN00321	1	8	10	8	1	5	0	3
SYN00326	34	37	59	50	11	16	6	7
SYN00337	57	49	44	47	26	8	18	26
SYN00342	48	48	40	48	14	9	6	14
SYN00347	34	40	19	41	12	10	9	18
SYN00350	0	2	1	0	0	1	0	0
SYN00351	3	0	5	8	1	0	2	3
SYN00356	20	15	5	20	1	2	8	9
SYN00358	5	6	6	8	2	2	4	2
SYN00361	13	17	13	32	6	6	12	9
SYN00363	10	6	9	8	4	0	4	4
SYN00364	27	30	27	40	10	13	8	19
SYN00367	5	6	8	14	4	0	0	3
SYN00375	21	33	25	23	2	5	9	12
SYN00378	4	4	4	5	2	3	1	1
SYN00380	4	6	9	1	1	0	2	1
SYN00381	20	32	35	30	7	19	10	16
SYN00383	36	18	30	39	13	17	16	12
SYN00390	6	9	7	7	6	0	5	11
SYN00401	39	40	40	35	9	15	11	19
SYN00405	65	65	84	148	35	33	46	32
SYN00407	34	33	35	52	12	19	9	14
SYN00410	5	5	10	1	5	3	1	3
SYN00411	23	55	51	69	12	14	22	9
SYN00418	32	30	66	37	4	12	16	15
