gene_id	ERR3971857	ERR3971858	ERR3971859	ERR3971860	ERR3971861	ERR3971862
AT1G01250	5	5	2	14	6	12
AT1G01270	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0
AT1G01305	0	0	0	0	0	0
AT1G01335	0	0	0	0	0	0
AT1G01370	21	38	35	30	31	39
AT1G01400	0	0	0	0	0	0
AT1G01410	0	0	0	0	0	0
AT1G01450	0	0	0	0	0	0
AT1G01480	305	472	499	12	6	15
AT1G01870	0	0	0	0	0	0
AT1G01890	0	0	0	0	0	0
AT1G02040	0	0	0	0	0	0
AT1G02067	0	0	0	0	0	0
AT1G02210	0	0	0	0	0	0
AT1G02320	0	0	0	0	0	0
AT1G02480	0	0	0	0	0	0
AT1G02510	0	0	0	0	0	0
AT1G02540	0	0	0	0	0	0
AT1G02550	0	0	0	0	0	0
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02710	0	0	0	0	0	0
AT1G02760	0	0	0	0	0	0
AT1G02790	0	0	0	0	0	0
AT1G02813	0	0	0	0	0	0
AT1G02965	0	0	0	0	0	0
AT1G03103	0	0	0	0	0	0
AT1G03300	0	0	0	0	0	0
AT1G03325	0	0	0	0	0	0
AT1G03395	0	0	0	0	0	0
AT1G03502	0	0	0	0	0	0
AT1G03515	0	0	0	0	0	0
AT1G03570	0	0	0	0	0	0
AT1G03640	0	0	0	0	0	0
AT1G03720	0	0	0	0	0	0
AT1G03743	0	0	0	0	0	0
AT1G03746	0	0	0	0	0	0
AT1G03810	0	0	0	0	0	0
AT1G03890	0	0	0	0	0	0
AT1G03982	0	0	0	0	0	0
AT1G03993	0	0	0	0	0	0
AT1G03997	0	0	0	0	0	0
AT1G04003	0	0	0	0	0	0
AT1G04017	0	0	0	0	0	0
AT1G04023	0	0	0	0	0	0
AT1G04033	0	0	0	0	0	0
AT1G04043	0	0	0	0	0	0
AT1G04057	0	0	0	0	0	0
AT1G04063	0	0	0	0	0	0
AT1G04067	0	0	0	0	0	0
AT1G04073	0	0	0	0	0	0
AT1G04077	0	0	0	0	0	0
AT1G04087	0	0	0	0	0	0
AT1G04093	0	0	0	0	0	0
AT1G04105	0	0	0	0	0	0
AT1G04110	33	27	43	42	30	26
AT1G04117	0	0	0	0	0	0
AT1G04123	0	0	0	0	0	0
AT1G04133	0	0	0	0	0	0
AT1G04143	0	0	0	0	0	0
AT1G04163	0	0	0	0	0	0
AT1G04167	0	0	0	0	0	0
AT1G04177	0	0	0	0	0	0
AT1G04203	0	0	0	0	0	0
AT1G04207	0	0	0	0	0	0
AT1G04213	0	0	0	0	0	0
AT1G04227	0	0	0	0	0	0
AT1G04233	0	0	0	0	0	0
AT1G04243	0	0	0	0	0	0
AT1G04253	0	0	0	0	0	0
AT1G04263	0	0	0	0	0	0
AT1G04283	0	0	0	0	0	0
AT1G04287	0	0	0	0	0	0
AT1G04293	0	0	0	0	0	0
AT1G04295	0	0	0	0	0	0
AT1G04307	0	0	0	0	0	0
AT1G04320	0	0	0	0	0	0
AT1G04327	0	0	0	0	0	0
AT1G04333	0	0	0	0	0	0
AT1G04337	0	0	0	0	0	0
AT1G04343	0	0	0	0	0	0
AT1G04353	0	0	0	0	0	0
AT1G04363	0	0	0	0	0	0
AT1G04370	22	41	51	0	1	0
AT1G04373	0	0	0	0	0	0
AT1G04377	0	0	0	0	0	0
AT1G04383	0	0	0	0	0	0
AT1G04387	0	0	0	0	0	0
AT1G04403	0	0	0	0	0	0
AT1G04433	0	0	0	0	0	0
AT1G04443	0	0	0	0	0	0
AT1G04447	0	0	0	0	0	0
AT1G04450	0	0	0	0	0	0
