gene_id	ERR5671402	ERR5671403	ERR5671404	ERR5671408	ERR5671409	ERR5671410
ENSMUSG00000000001	6253	6413	8143	6490	6850	13317
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1731	1331	1074	1992	1599	2254
ENSMUSG00000000031	371	3476	505	5151	5943	3314
ENSMUSG00000000037	98	99	136	131	104	125
ENSMUSG00000000049	2	13	22	13	24	18
ENSMUSG00000000056	1190	1832	1377	1110	1339	638
ENSMUSG00000000058	456	591	745	462	543	856
ENSMUSG00000000078	6631	7434	7352	7060	6746	9666
ENSMUSG00000000085	1269	1041	993	762	869	1055
ENSMUSG00000000088	4812	3855	3821	4444	4066	4666
ENSMUSG00000000093	152	119	78	66	87	82
ENSMUSG00000000094	121	119	96	98	102	138
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	10	46	4	16	14	45
ENSMUSG00000000125	0	0	0	0	0	0
ENSMUSG00000000126	141	157	67	122	98	115
ENSMUSG00000000127	2006	2344	2505	2791	2492	2068
ENSMUSG00000000131	5593	5164	5023	5721	5080	5594
ENSMUSG00000000134	2766	2490	1959	2762	2689	2490
ENSMUSG00000000142	13	27	14	13	9	7
ENSMUSG00000000148	1232	1367	1063	1059	1182	1070
ENSMUSG00000000149	6244	5941	5790	5615	5741	5584
ENSMUSG00000000154	16	67	94	22	27	18
ENSMUSG00000000157	0	0	0	0	0	0
ENSMUSG00000000159	0	0	0	0	0	2
ENSMUSG00000000167	69	100	66	81	63	102
ENSMUSG00000000168	4204	4273	4006	4197	3777	4919
ENSMUSG00000000171	6303	5959	5680	6189	5979	6295
ENSMUSG00000000182	2	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	2	0
ENSMUSG00000000184	11851	13605	21285	13556	14779	10409
ENSMUSG00000000194	4219	4917	4019	4521	4360	3200
ENSMUSG00000000197	3	7	0	15	0	0
ENSMUSG00000000202	0	0	0	2	10	4
ENSMUSG00000000204	0	0	0	0	0	1
ENSMUSG00000000214	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	2	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	108	186	169	204	235	145
ENSMUSG00000000244	2	2	4	0	0	0
ENSMUSG00000000247	30	45	26	9	34	23
ENSMUSG00000000248	2	0	0	0	0	0
ENSMUSG00000000253	327	380	366	371	301	204
ENSMUSG00000000263	15	12	4	9	41	8
ENSMUSG00000000266	284	477	464	640	711	789
ENSMUSG00000000275	791	789	1018	704	631	841
ENSMUSG00000000276	380	362	442	429	406	725
ENSMUSG00000000278	12343	13099	11338	10569	10845	10915
ENSMUSG00000000282	684	789	527	713	783	558
ENSMUSG00000000290	42	75	37	30	53	59
ENSMUSG00000000295	558	543	665	468	520	650
ENSMUSG00000000296	54	54	92	120	66	65
ENSMUSG00000000301	205	226	215	202	216	184
ENSMUSG00000000303	5	0	4	0	0	0
ENSMUSG00000000305	6	1	0	0	0	23
ENSMUSG00000000308	0	4	0	2	8	0
ENSMUSG00000000317	56	58	10	35	44	56
ENSMUSG00000000318	7	2	11	0	0	0
ENSMUSG00000000320	23	9	11	13	17	12
ENSMUSG00000000326	4520	4863	3749	4505	4366	4126
ENSMUSG00000000339	2061	1495	1889	1807	1606	2014
ENSMUSG00000000340	566	600	857	554	584	937
ENSMUSG00000000346	4915	5683	4579	4916	4482	4433
