gene_id	ERR3721875	ERR3721871	ERR3721868	ERR3721876	ERR3721870	ERR3721873	ERR3721867	ERR3721874	ERR3721869	ERR3721872
ENSG00000000003	398	455	538	434	476	391	130	229	374	562
ENSG00000000005	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	214	257	300	275	269	384	82	173	261	312
ENSG00000000457	55	93	173	74	164	137	61	69	101	81
ENSG00000000460	22	58	83	50	37	48	43	50	48	30
ENSG00000000938	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	2462	1560	2712	2883	3269	3343	1266	990	1651	2351
ENSG00000001036	494	636	884	547	839	632	292	216	753	762
ENSG00000001084	341	306	669	313	558	346	293	316	387	294
ENSG00000001167	173	149	170	143	156	157	90	137	158	179
ENSG00000001460	132	161	140	91	140	99	104	134	137	74
ENSG00000001461	103	116	115	141	161	103	101	82	118	81
ENSG00000001497	541	531	734	434	570	419	211	257	599	603
ENSG00000001561	6	24	21	10	26	6	17	13	10	21
ENSG00000001617	300	379	260	166	224	203	165	157	308	209
ENSG00000001626	80	22	44	148	109	59	14	26	19	53
ENSG00000001629	220	389	411	339	471	298	257	242	393	384
ENSG00000001630	5	8	12	7	6	0	2	21	21	4
ENSG00000001631	60	89	77	29	101	60	42	62	40	56
ENSG00000002016	105	108	97	83	144	73	89	99	70	72
ENSG00000002079	3	8	14	19	13	0	3	0	13	5
ENSG00000002330	374	361	334	178	323	294	160	168	394	363
ENSG00000002549	167	141	200	191	170	189	83	36	121	227
ENSG00000002586	1418	2000	2019	1281	1891	894	1106	657	2213	1521
ENSG00000002587	32	86	123	27	144	15	52	50	107	49
ENSG00000002726	0	35	37	0	51	1	18	0	58	4
ENSG00000002745	1	0	3	1	1	0	0	1	2	0
ENSG00000002746	32	48	64	53	57	40	18	64	39	59
ENSG00000002822	130	233	251	103	227	109	136	100	237	188
ENSG00000002834	3992	4032	3845	4620	4409	4241	1780	2059	4374	3550
ENSG00000002919	237	323	265	262	296	218	125	104	286	295
ENSG00000002933	52	69	78	20	121	15	62	0	62	45
ENSG00000003056	471	330	367	464	343	449	165	257	300	285
ENSG00000003096	1	0	4	4	4	7	10	0	3	3
ENSG00000003137	239	113	111	374	136	177	65	239	75	176
ENSG00000003147	304	527	671	302	716	242	226	210	527	369
ENSG00000003249	548	638	567	483	561	419	274	255	573	362
ENSG00000003393	143	155	222	193	218	201	106	166	111	191
ENSG00000003400	140	54	101	66	111	66	40	6	86	77
ENSG00000003402	664	627	617	659	773	746	323	596	505	721
ENSG00000003436	750	675	1351	974	1259	807	568	870	802	1293
ENSG00000003509	192	144	248	231	206	225	91	197	140	228
ENSG00000003756	531	624	581	490	728	479	395	237	483	488
ENSG00000003987	4	8	25	3	23	4	6	8	12	24
ENSG00000003989	674	476	1046	906	779	856	421	453	400	954
ENSG00000004059	1684	1786	1472	1913	1526	1523	539	1102	1592	1462
ENSG00000004139	56	13	19	26	32	63	22	16	10	19
ENSG00000004142	1455	1053	1198	1221	1185	1221	608	583	1013	1366
ENSG00000004399	1250	1027	912	1327	947	1021	569	785	827	1105
ENSG00000004455	1017	1016	1126	1079	1100	796	596	575	1041	1113
ENSG00000004468	147	60	123	118	119	152	55	152	74	179
ENSG00000004478	533	756	815	616	577	446	287	310	679	529
ENSG00000004487	600	584	796	571	714	523	354	317	575	626
ENSG00000004534	528	539	545	557	703	540	340	262	397	433
ENSG00000004660	150	67	101	101	82	86	39	98	44	161
ENSG00000004700	135	109	155	231	183	182	58	46	121	106
