gene_id	SRR384980	SRR384978	SRR384982	SRR384979	SRR384981	SRR384977
ENSMUSG00000000001	2026	510	2339	2647	2733	968
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000028	1053	832	1201	2589	1770	1107
ENSMUSG00000000031	14939	15553	34873	50416	23760	14460
ENSMUSG00000000037	9	13	8	67	15	26
ENSMUSG00000000049	813	1024	1313	5162	1242	1111
ENSMUSG00000000056	3506	2022	3524	10951	6531	3519
ENSMUSG00000000058	19	15	38	26	19	6
ENSMUSG00000000078	628	149	626	656	863	188
ENSMUSG00000000085	991	314	944	1469	1623	377
ENSMUSG00000000088	792	783	1105	1687	1056	571
ENSMUSG00000000093	24	17	63	75	52	6
ENSMUSG00000000094	2	0	2	0	2	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000120	24	12	34	97	50	8
ENSMUSG00000000125	0	0	0	2	0	0
ENSMUSG00000000126	6	1	1	3	4	1
ENSMUSG00000000127	135	123	236	443	223	117
ENSMUSG00000000131	1037	515	996	2019	1727	506
ENSMUSG00000000134	510	173	526	827	794	212
ENSMUSG00000000142	8	7	12	51	16	7
ENSMUSG00000000148	216	71	194	397	363	88
ENSMUSG00000000149	647	470	762	1735	1017	480
ENSMUSG00000000154	60	35	63	245	65	33
ENSMUSG00000000157	41	2	11	39	22	5
ENSMUSG00000000159	9	7	14	19	13	6
ENSMUSG00000000167	18	13	22	29	31	10
ENSMUSG00000000168	505	282	691	1396	865	384
ENSMUSG00000000171	2053	2244	3034	4390	2924	2353
ENSMUSG00000000182	0	0	4	0	0	0
ENSMUSG00000000183	0	0	0	0	2	0
ENSMUSG00000000184	356	200	551	1232	625	195
ENSMUSG00000000194	498	262	572	1116	882	220
ENSMUSG00000000197	0	0	0	0	1	0
ENSMUSG00000000202	0	1	1	4	0	0
ENSMUSG00000000204	68	7	30	50	28	14
ENSMUSG00000000214	0	0	0	0	2	0
ENSMUSG00000000215	0	0	0	1	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000223	23	18	14	80	58	9
ENSMUSG00000000244	2417	1285	2523	3416	3144	1366
ENSMUSG00000000247	40	29	45	131	57	18
ENSMUSG00000000248	0	0	0	1	0	0
ENSMUSG00000000253	3120	3741	3547	9064	5430	3878
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000266	10	8	43	20	17	5
ENSMUSG00000000275	1265	654	1529	2297	1665	599
ENSMUSG00000000276	71	7	33	62	79	11
ENSMUSG00000000278	252	156	336	1325	455	180
ENSMUSG00000000282	256	90	160	734	341	114
ENSMUSG00000000290	491	96	466	591	612	119
ENSMUSG00000000295	216	221	301	289	321	176
ENSMUSG00000000296	8	2	10	12	30	5
ENSMUSG00000000301	57	61	57	104	55	55
ENSMUSG00000000303	406	166	338	1696	565	158
ENSMUSG00000000305	11	6	7	35	10	1
ENSMUSG00000000308	0	0	1	1	0	0
ENSMUSG00000000317	59	40	109	147	69	27
ENSMUSG00000000318	5	2	5	11	8	3
ENSMUSG00000000320	903	482	1864	1340	1116	281
ENSMUSG00000000325	420	84	429	530	844	92
ENSMUSG00000000326	842	535	651	2860	1463	859
ENSMUSG00000000339	188	101	233	542	326	179
ENSMUSG00000000340	138	52	222	336	188	121
ENSMUSG00000000346	2101	1864	2397	4974	2812	1815
ENSMUSG00000000355	441	468	578	552	582	322
ENSMUSG00000000359	10	6	18	15	26	3
ENSMUSG00000000365	15	10	17	32	18	14
ENSMUSG00000000374	838	432	593	2910	1460	761
ENSMUSG00000000378	368	354	393	1600	574	459
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000384	948	836	1006	3072	1671	775
ENSMUSG00000000385	32	3	23	79	23	15
ENSMUSG00000000386	21	5	21	13	27	2
ENSMUSG00000000392	5	1	4	0	15	2
ENSMUSG00000000394	0	0	0	0	1	1
ENSMUSG00000000399	1567	1382	2101	3876	2086	1489
ENSMUSG00000000402	3	1	5	17	12	1
ENSMUSG00000000409	69	148	98	601	107	202
ENSMUSG00000000411	0	0	0	9	1	2
ENSMUSG00000000416	6	10	13	35	9	10
ENSMUSG00000000420	1099	1012	1241	5067	1742	1432
ENSMUSG00000000435	0	0	0	0	0	0
ENSMUSG00000000439	173	104	214	422	309	124
ENSMUSG00000000440	22	13	30	44	17	19
ENSMUSG00000000441	401	80	352	1102	712	251
ENSMUSG00000000486	239	213	276	1073	332	304
ENSMUSG00000000489	134	71	214	127	126	33
ENSMUSG00000000530	31	26	63	81	44	14
ENSMUSG00000000531	26	13	31	57	20	5
ENSMUSG00000000532	208	30	143	341	268	48
ENSMUSG00000000538	329	105	262	482	447	103
ENSMUSG00000000544	0	0	0	2	0	0
ENSMUSG00000000552	326	128	414	752	531	115
ENSMUSG00000000555	400	181	395	1117	640	151
ENSMUSG00000000560	0	0	0	0	0	0
ENSMUSG00000000561	500	433	568	754	592	302
ENSMUSG00000000562	14	3	5	15	19	2
ENSMUSG00000000563	4952	4258	7123	6806	7157	3764
ENSMUSG00000000567	6	5	7	22	9	2
ENSMUSG00000000568	3257	1880	3153	13420	5990	2203
ENSMUSG00000000579	26	9	10	24	12	13
ENSMUSG00000000581	573	403	766	1043	746	421
ENSMUSG00000000594	394	174	546	616	466	154
ENSMUSG00000000600	444	128	404	812	611	264
ENSMUSG00000000605	446	209	440	955	543	267
ENSMUSG00000000606	0	0	0	0	0	0
ENSMUSG00000000617	1	0	2	4	2	1
ENSMUSG00000000627	1	0	1	5	1	0
ENSMUSG00000000628	340	90	432	456	448	119
ENSMUSG00000000631	1005	703	1204	5855	2229	870
ENSMUSG00000000632	0	0	0	0	0	0
ENSMUSG00000000673	67	113	105	272	122	96
ENSMUSG00000000682	157	101	175	179	129	37
ENSMUSG00000000686	3	4	6	16	14	5
ENSMUSG00000000690	1	0	0	0	0	0
ENSMUSG00000000693	48	19	51	90	74	16
ENSMUSG00000000701	0	0	0	0	0	0
ENSMUSG00000000706	2300	69	1583	487	3730	99
ENSMUSG00000000708	218	218	259	613	322	268
ENSMUSG00000000711	415	93	413	876	671	202
ENSMUSG00000000724	0	0	0	2	0	0
ENSMUSG00000000730	0	1	1	3	0	0
ENSMUSG00000000731	5	0	2	0	4	0
ENSMUSG00000000732	46	32	39	144	63	19
ENSMUSG00000000738	710	442	743	1779	1201	472
ENSMUSG00000000739	4	3	4	2	2	3
ENSMUSG00000000740	2747	4892	4704	12789	4239	3714
ENSMUSG00000000743	760	335	655	1606	1010	493
ENSMUSG00000000751	2397	2269	2575	8007	4155	2840
ENSMUSG00000000753	773	539	947	2876	1143	397
ENSMUSG00000000759	770	461	662	2802	1528	765
ENSMUSG00000000766	1	0	0	1	0	0
ENSMUSG00000000776	183	148	159	999	343	184
ENSMUSG00000000782	27	18	44	43	35	8
ENSMUSG00000000787	2765	1495	3023	8869	4254	2229
ENSMUSG00000000791	12	3	17	25	25	3
ENSMUSG00000000792	4	1	2	4	10	1
ENSMUSG00000000794	1	0	0	1	1	1
ENSMUSG00000000804	1481	1386	1542	6306	2389	1938
ENSMUSG00000000805	5	1	5	8	6	2
ENSMUSG00000000811	58	29	56	151	61	32
ENSMUSG00000000817	0	1	0	0	0	1
ENSMUSG00000000823	390	104	308	814	670	134
ENSMUSG00000000826	1915	711	1817	2865	3188	764
ENSMUSG00000000827	857	751	1124	2651	1488	933
ENSMUSG00000000838	595	325	687	1647	870	501
ENSMUSG00000000861	211	527	294	2787	411	570
ENSMUSG00000000869	8	5	8	9	7	6
ENSMUSG00000000876	555	311	611	1110	812	322
ENSMUSG00000000881	89	33	122	151	125	39
ENSMUSG00000000884	72	102	97	230	107	86
ENSMUSG00000000889	0	0	0	1	0	0
ENSMUSG00000000901	16	11	19	44	41	6
ENSMUSG00000000902	896	740	889	1815	1333	623
ENSMUSG00000000903	10	12	6	11	8	7
ENSMUSG00000000915	440	221	457	1522	702	233
ENSMUSG00000000916	241	135	192	625	396	173
ENSMUSG00000000934	89	88	174	316	150	124
ENSMUSG00000000938	1	0	2	3	2	1
ENSMUSG00000000942	9	2	7	12	5	0
ENSMUSG00000000948	2	0	3	15	2	1
ENSMUSG00000000957	117	77	256	722	234	49
ENSMUSG00000000958	75	77	104	306	101	52
ENSMUSG00000000959	691	490	838	2036	1122	500
ENSMUSG00000000976	234	71	192	503	380	114
ENSMUSG00000000982	20	27	17	14	7	2
ENSMUSG00000000983	0	1	0	0	0	0
ENSMUSG00000001014	0	0	0	0	0	0
ENSMUSG00000001016	1072	830	1385	2626	1630	944
ENSMUSG00000001017	1513	1064	1676	3710	2304	1023
ENSMUSG00000001018	170	55	198	326	253	94
ENSMUSG00000001020	2	4	6	6	3	3
ENSMUSG00000001021	0	0	0	1	0	0
ENSMUSG00000001023	0	0	0	0	0	0
ENSMUSG00000001025	61	32	47	51	43	22
ENSMUSG00000001027	1	0	0	3	3	0
ENSMUSG00000001029	183	136	281	261	242	72
ENSMUSG00000001034	213	117	215	566	339	118
