id	title	object_key	source_accession	organism	taxon_id	archetype	samples	pocket_features	contrast	reference	rights	license	spearman_logfc	top_k_jaccard	distance_correlation	sign_concordance
rnaseq-002	SLC2A5 knockout in A549 xenografts	E-MTAB-8572	E-MTAB-8572	Homo sapiens	9606	balanced genetic knockout xenograft	10	2000	wild type genotype versus SLC2A5 knockout mediated by CRISPR/Cas9	Ensembl 95 GRCh38	GREEN	CC-BY-4.0	0.9994413563998183	0.9607843137254902	0.9380955435041467	0.992462311557789
rnaseq-003	AtRsgA knockout in Arabidopsis seedlings	E-MTAB-6866	E-MTAB-6866	Arabidopsis thaliana	3702	balanced plant genetic knockout	6	4000	wild type genotype versus AtRsgA-i -/-	Ensembl Genomes 44 TAIR10	GREEN	CC-BY-4.0	0.9999495062540774	0.8518518518518519	0.9390399315774344	0.9475774424146147
rnaseq-004	Klf1 knockout in mouse erythroid tissue	E-GEOD-33979	E-GEOD-33979	Mus musculus	10090	balanced mouse genetic knockout	6	4000	wild type genotype versus Klf1-/-	Ensembl 97 GRCm38	GREEN	CC-BY-4.0	0.9793186499623325	0.7857142857142857	0.9408752119968673	0.9600333055786844
rnaseq-005	Paired prostate tumour and adjacent tissue	E-MTAB-567	E-MTAB-567	Homo sapiens	9606	paired tumour and adjacent tissue	28	8000	tumor tissue versus adjacent non-tumor tissue	Ensembl 107 GRCh38	GREEN	CC-BY-4.0	0.9999469137269074	0.9230769230769231	0.9480391749088565	1.0
rnaseq-006	Arabidopsis infection response adjusted for genotype	E-MTAB-8845	E-MTAB-8845	Arabidopsis thaliana	3702	factorial plant infection response	12	500	none versus Phytophthora parasitica	Ensembl Genomes 44 TAIR10	GREEN	CC-BY-4.0	0.9998606947640518	0.9607843137254902	0.9741879355966665	0.9875776397515528
rnaseq-007	ELP3 depletion in BT549 breast cancer cells	E-MTAB-9206	E-MTAB-9206	Homo sapiens	9606	balanced cell-line RNA interference	6	8000	scrambled shRNA versus ELP3 shRNA	Ensembl 95 GRCh38	GREEN	CC-BY-4.0	0.9996661149014315	0.7241379310344828	0.9921755562680772	0.9732948394081559
rnaseq-008	Duchenne muscular dystrophy myoblast comparison	E-MTAB-10322	E-MTAB-10322	Mus musculus	10090	imbalanced disease comparison	9	8000	normal versus Duchenne muscular dystrophy	Ensembl 107 GRCm39	GREEN	CC-BY-4.0	0.9990674794038852	1.0	0.9163409306329852	1.0
rnaseq-009	Arabidopsis gsnor1 genotype adjusted for infection	E-MTAB-8845-genotype	E-MTAB-8845	Arabidopsis thaliana	3702	factorial plant genotype response	12	500	wild type genotype versus gsnor1	Ensembl Genomes 44 TAIR10	GREEN	CC-BY-4.0	0.9991215642736454	1.0	0.9837473481867061	1.0
rnaseq-010	Phytophthora response in wild-type Arabidopsis	E-MTAB-8845-infection-wild	E-MTAB-8845	Arabidopsis thaliana	3702	stratified wild-type infection response	6	500	none versus Phytophthora parasitica	Ensembl Genomes 44 TAIR10	GREEN	CC-BY-4.0	0.9999846455920176	0.9607843137254902	0.9960654681811183	1.0
rnaseq-011	Phytophthora response in gsnor1 Arabidopsis	E-MTAB-8845-infection-gsnor1	E-MTAB-8845	Arabidopsis thaliana	3702	stratified mutant infection response	6	500	none versus Phytophthora parasitica	Ensembl Genomes 44 TAIR10	GREEN	CC-BY-4.0	0.9999272643773329	1.0	0.9935732251543249	0.9840764331210191
rnaseq-012	Dmd-mdx myoblasts compared with wild type	E-MTAB-10322-mdx	E-MTAB-10322	Mus musculus	10090	balanced Dmd-mdx genetic comparison	6	8000	wild type genotype versus Dmd-mdx	Ensembl 107 GRCm39	GREEN	CC-BY-4.0	0.9980243330346174	1.0	0.9162154381438341	1.0
rnaseq-013	Dmd-mdx-beta-geo myoblasts compared with wild type	E-MTAB-10322-beta	E-MTAB-10322	Mus musculus	10090	balanced Dmd-mdx-beta-geo genetic comparison	6	8000	wild type genotype versus Dmd-mdx-βgeo	Ensembl 107 GRCm39	GREEN	CC-BY-4.0	0.9998355672750909	0.9607843137254902	0.9223940212396747	1.0
