gene_id	SRR384980	SRR384978	SRR384982	SRR384979	SRR384981	SRR384977
ENSMUSG00000000003	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0
ENSMUSG00000000134	510	173	526	827	794	212
ENSMUSG00000000157	41	2	11	39	22	5
ENSMUSG00000000197	0	0	0	0	1	0
ENSMUSG00000000215	0	0	0	1	0	0
ENSMUSG00000000216	0	0	0	0	0	0
ENSMUSG00000000248	0	0	0	1	0	0
ENSMUSG00000000263	0	0	0	0	0	0
ENSMUSG00000000381	0	0	0	0	0	0
ENSMUSG00000000435	0	0	0	0	0	0
ENSMUSG00000000560	0	0	0	0	0	0
ENSMUSG00000000606	0	0	0	0	0	0
ENSMUSG00000000632	0	0	0	0	0	0
ENSMUSG00000000690	1	0	0	0	0	0
ENSMUSG00000000701	0	0	0	0	0	0
ENSMUSG00000000706	2300	69	1583	487	3730	99
ENSMUSG00000000730	0	1	1	3	0	0
ENSMUSG00000000889	0	0	0	1	0	0
ENSMUSG00000000983	0	1	0	0	0	0
ENSMUSG00000001014	0	0	0	0	0	0
ENSMUSG00000001021	0	0	0	1	0	0
ENSMUSG00000001023	0	0	0	0	0	0
ENSMUSG00000001119	267	49	202	397	477	20
ENSMUSG00000001168	0	0	1	0	0	0
ENSMUSG00000001225	0	0	0	0	0	0
ENSMUSG00000001260	0	0	0	0	0	0
ENSMUSG00000001496	0	0	0	0	0	0
ENSMUSG00000001504	1	0	0	0	0	0
ENSMUSG00000001506	1499	323	1090	4551	3609	128
ENSMUSG00000001510	1	0	0	0	0	0
ENSMUSG00000001566	0	0	0	0	0	0
ENSMUSG00000001588	284	76	240	292	372	69
ENSMUSG00000001622	0	0	0	0	1	0
ENSMUSG00000001655	0	0	0	0	0	0
ENSMUSG00000001656	0	0	0	0	0	0
ENSMUSG00000001657	0	0	0	1	0	0
ENSMUSG00000001672	0	0	0	1	0	0
ENSMUSG00000001700	34	31	63	110	60	23
ENSMUSG00000001773	0	0	0	0	0	0
ENSMUSG00000001804	0	0	0	0	0	0
ENSMUSG00000001815	0	0	0	0	0	0
ENSMUSG00000001819	0	0	0	0	0	0
ENSMUSG00000001823	0	0	0	0	0	0
ENSMUSG00000001918	389	2311	437	10201	586	2209
ENSMUSG00000001943	18	6	41	27	33	0
ENSMUSG00000002020	203	8	84	32	334	2
ENSMUSG00000002057	0	0	0	0	0	0
ENSMUSG00000002059	797	36	388	1210	999	191
ENSMUSG00000002100	483	32	518	53	696	15
ENSMUSG00000002190	5	29	1	83	7	28
ENSMUSG00000002222	1317	631	1199	3475	1820	1059
ENSMUSG00000002240	0	0	0	0	0	0
ENSMUSG00000002345	366	343	409	796	543	313
ENSMUSG00000002475	15	2	29	128	30	21
ENSMUSG00000002578	63	4	43	22	64	1
ENSMUSG00000002617	36	7	42	27	39	8
ENSMUSG00000002633	0	0	0	0	0	0
ENSMUSG00000002748	1938	1283	2270	8191	3841	1809
ENSMUSG00000002799	27	9	42	43	55	1
ENSMUSG00000002908	69	5	60	47	113	13
ENSMUSG00000002930	0	0	0	0	0	0
ENSMUSG00000002948	535	280	523	1350	887	290
ENSMUSG00000002983	137	20	147	76	207	9
ENSMUSG00000002984	848	696	891	3959	1546	767
ENSMUSG00000003053	0	0	0	0	0	0
ENSMUSG00000003227	0	0	0	0	0	0
ENSMUSG00000003279	0	0	0	0	1	0
ENSMUSG00000003282	46	6	71	125	102	20
ENSMUSG00000003469	3	56	2	320	2	58
ENSMUSG00000003505	0	0	0	0	0	0
ENSMUSG00000003534	21	9	21	75	57	3
ENSMUSG00000003657	0	0	0	1	0	0
ENSMUSG00000004231	0	0	0	1	0	0
ENSMUSG00000004267	97	5	104	30	87	5
ENSMUSG00000004296	0	0	0	0	0	0
ENSMUSG00000004341	0	0	0	0	0	0
ENSMUSG00000004344	0	0	0	0	0	0
ENSMUSG00000004360	0	0	0	0	0	0
ENSMUSG00000004366	0	0	0	0	0	0
ENSMUSG00000004415	3	0	3	7	65	1
ENSMUSG00000004540	0	0	0	0	0	0
ENSMUSG00000004542	0	0	1	0	0	0
ENSMUSG00000004630	0	0	0	0	0	0
ENSMUSG00000004651	0	0	0	0	0	0
ENSMUSG00000004668	13	0	14	23	23	8
ENSMUSG00000004707	80	37	79	146	85	42
ENSMUSG00000004815	78	13	74	292	193	36
ENSMUSG00000004821	0	0	0	0	0	0
ENSMUSG00000004872	0	0	0	0	0	0
ENSMUSG00000004894	0	0	0	0	0	0
ENSMUSG00000004939	0	0	0	1	0	0
ENSMUSG00000004948	0	0	0	0	1	0
ENSMUSG00000004961	20	3	30	20	42	3
ENSMUSG00000005045	5	4	14	16	13	0
ENSMUSG00000005057	43	14	41	86	70	12
ENSMUSG00000005232	0	0	0	0	0	0
ENSMUSG00000005338	1	8	5	114	2	22
ENSMUSG00000005339	0	0	0	0	0	0
ENSMUSG00000005355	0	0	0	0	0	0
ENSMUSG00000005474	1	0	0	0	0	0
ENSMUSG00000005503	0	0	0	0	0	0
ENSMUSG00000005696	0	0	0	0	0	0
ENSMUSG00000005716	0	0	0	0	0	0
ENSMUSG00000005763	13	1	4	5	11	0
ENSMUSG00000005883	0	0	0	0	0	0
ENSMUSG00000005891	0	0	0	0	0	0
ENSMUSG00000005892	0	0	0	0	0	0
ENSMUSG00000005893	75	15	89	366	194	45
ENSMUSG00000005917	0	0	0	0	0	0
ENSMUSG00000005952	0	0	0	1	0	0
ENSMUSG00000005958	16	11	13	41	64	1
ENSMUSG00000005968	1575	175	1040	847	2012	202
ENSMUSG00000005994	0	0	0	0	0	0
ENSMUSG00000006007	0	0	0	0	0	0
ENSMUSG00000006056	0	0	0	0	0	0
ENSMUSG00000006143	0	0	0	0	0	0
