gene_id	control1	control2	control3	control4	treated1	treated2	treated3	treated4
SYN00000	66	47	71	57	87	149	131	142
SYN00001	7	7	11	18	41	57	44	19
SYN00002	64	87	83	79	151	221	182	251
SYN00003	6	3	8	11	30	19	20	22
SYN00004	22	30	32	28	73	94	65	34
SYN00005	81	58	67	73	215	173	279	264
SYN00006	45	100	92	85	283	301	280	195
SYN00007	138	145	114	177	482	493	513	493
SYN00008	19	16	12	25	89	61	31	50
SYN00009	34	23	52	53	157	186	156	112
SYN00010	4	3	5	3	15	9	23	8
SYN00011	10	33	17	22	54	49	51	55
SYN00012	13	9	5	10	48	59	11	44
SYN00013	7	7	11	8	13	17	32	14
SYN00014	7	17	10	12	30	20	57	27
SYN00015	50	27	51	53	150	174	106	98
SYN00016	93	90	107	74	196	284	326	321
SYN00017	507	528	572	548	1321	1651	2413	1758
SYN00018	2	7	9	8	23	21	16	30
SYN00019	17	30	41	41	138	111	156	126
SYN00020	54	71	48	80	186	156	220	164
SYN00021	84	47	76	98	188	215	320	353
SYN00022	319	206	270	350	1075	623	1027	1255
SYN00023	51	81	70	64	163	162	235	221
SYN00024	296	281	305	250	1138	862	1295	1255
SYN00025	75	45	42	63	241	191	211	192
SYN00026	21	28	15	12	96	53	54	94
SYN00027	14	24	17	9	62	50	54	85
SYN00028	28	25	35	30	43	71	130	120
SYN00029	11	9	5	8	18	14	28	20
SYN00030	20	21	29	23	77	97	60	62
SYN00031	4	2	8	10	33	35	30	22
SYN00032	3	5	2	3	22	27	16	20
SYN00033	15	3	8	8	16	20	25	34
SYN00034	29	23	20	24	110	76	100	74
SYN00035	29	17	12	13	59	58	52	73
SYN00036	9	12	8	7	27	26	32	26
SYN00037	7	6	5	9	17	28	19	23
SYN00038	100	97	75	144	284	298	414	534
SYN00039	14	22	44	49	90	86	134	97
SYN00040	9	3	8	20	15	38	36	34
SYN00041	7	15	14	12	45	25	36	48
SYN00042	48	62	111	112	257	257	293	281
SYN00043	35	27	33	46	116	103	112	105
SYN00044	1098	740	865	664	2125	2857	2736	2714
SYN00045	9	7	8	11	41	51	36	52
SYN00046	2	3	4	0	10	10	19	22
SYN00047	137	130	110	119	482	403	477	553
SYN00048	88	59	93	120	298	267	324	319
SYN00049	103	96	164	126	431	406	558	473
SYN00050	9	2	12	9	22	28	45	37
SYN00051	2	3	3	1	10	11	10	8
SYN00052	127	228	256	244	706	903	990	707
SYN00053	8	4	3	8	28	19	28	43
SYN00054	42	44	40	46	76	130	133	102
SYN00055	199	171	278	237	645	853	1129	693
SYN00056	77	81	50	102	201	145	211	256
SYN00057	40	34	41	52	88	141	137	89
SYN00058	0	2	2	1	6	3	7	7
SYN00059	49	76	94	100	207	190	287	207
SYN00060	55	38	69	45	108	166	134	162
SYN00061	74	56	43	62	207	133	123	250
SYN00062	401	396	428	432	837	1008	1565	1908
SYN00063	24	18	13	19	53	61	56	83
SYN00064	30	47	43	59	83	86	113	141
SYN00065	25	18	18	19	48	56	68	90
SYN00066	16	14	21	21	33	43	48	38
SYN00067	7	3	3	0	19	11	14	10
SYN00068	115	126	159	136	354	426	444	741
SYN00069	7	3	6	5	27	13	25	11
SYN00070	78	96	145	115	261	214	350	331
SYN00071	240	292	261	349	1193	645	950	1119
SYN00072	3	2	1	4	6	9	11	4
SYN00073	84	46	99	74	212	231	236	317
SYN00074	14	29	20	21	108	46	93	97
SYN00075	22	12	27	27	90	53	101	93
SYN00076	61	54	78	80	222	185	271	246
SYN00077	13	18	16	31	60	84	65	81
SYN00078	64	83	83	74	218	163	176	268
SYN00079	9	15	14	20	51	64	82	103
SYN00080	406	339	466	754	2286	1922	2581	1909
SYN00081	3	15	10	11	28	36	41	23
